freq,coop_ptn,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,APPL,P_MHAB,IS	106.14 	94.36 	154.72 	115.55 	113.42 	144.43 	166.65 	141.06 	155.90 	117.37 	128.29 	136.03 	116.27 	163.08 	93.56 	138.67 	111.88 	169.12 	125.65 	108.31 p
A,APPL,P_MHAB,IT	69.31 	72.43 	71.77 	75.43 	74.06 	65.64 	68.80 	66.86 	62.88 	61.53 	60.03 	65.63 	68.52 	72.02 	72.89 	74.82 b	77.71 	83.24 p	82.57 p	85.65 p
A,APPL,P_MHAB,LI	4238.40 	4373.72 	4766.39 	6749.48 	6342.85 	6379.05 	7745.27 	6113.68 	5428.70 	6759.68 	7463.49 	9894.92 	9916.22 	10010.01 	11295.30 	11332.11 	11285.06 	12582.31 p	11596.7 p	11265.97 p
A,APPL,P_MHAB,LT	0.59 	0.30 	0.31 	2.79 	3.44 	4.11 	2.91 	4.62 	6.36 	7.44 	8.18 	13.43 	9.06 	8.49 	13.21 	10.38 	17.89 	25.35 	27.9 	45.15 p
A,APPL,P_MHAB,LU	399.48 	389.12 	429.51 	539.59 	560.73 	731.24 	828.48 	758.18 	845.66 b	789.53 	816.08 	746.13 	955.30 	893.79 b	708.94 	669.35 	637.67 	676.49 	526.72 	582.62 p
A,APPL,P_MHAB,LV	1.77 	3.13 	4.51 	9.09 	19.29 	22.88 	15.26 	13.59 	12.29 	39.75 	4.01 	15.17 	5.61 	7.21 	6.75 	11.50 	15.79 	11.67 	11.17 	14.34 p
A,APPL,P_MHAB,ME	: 	: 	: 	: 	: 	0.00 	0.00 b	0.00 	1.61 	1.61 	0.00 	0.00 	1.61 	1.61 	3.21 	0.00 	3.22 	1.61 	0.00 p	: 
A,APPL,P_MHAB,MK	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.48 	0.48 	0.00 	0.48 	0.00 	0.00 	0.48 	0.48 	2.56 b	1.64 	2.19 p
A,APPL,P_MHAB,MT	19.94 	17.33 	37.01 	66.38 	65.95 	147.89 	74.79 	72.07 	57.14 	100.95 	142.67 	211.21 	162.51 	147.44 	105.23 	115.07 	122.25 	108.00 	135.56 b	108.85 p
A,APPL,P_MHAB,NL	428.33 	477.88 	450.26 	434.51 	447.54 	404.95 	359.00 	337.09 	302.42 	348.24 	407.59 	421.90 	402.81 	411.12 	414.47 	400.23 	366.14 	375.18 	383.93 	394.86 p
A,APPL,P_MHAB,NO	: 	: 	: 	: 	: 	98.37 	104.11 	94.28 	110.59 	100.20 	102.97 	98.29 	99.91 	100.63 	114.84 	120.80 	121.20 	116.30 	120.39 	126.98 p
A,APPL,P_MHAB,PL	2.44 	2.91 	3.33 	2.73 	4.43 	4.56 	5.39 b	6.46 	10.06 	9.78 	12.68 	14.90 	10.35 	11.74 	13.67 e	12.20 e	12.61 ep	13.83 ep	16.48 b	18.26 bp
